,aes,consumption,consumptiongaespump,gesgaes,hour,tec,tes,vde,Дата
2,8173,12922,-441,44,02:00,432,5928,10,30.07.2015
3,8221,12932,-662,44,03:00,435,5998,11,30.07.2015
4,8175,12701,-659,44,04:00,431,5742,19,30.07.2015
5,8204,12668,-664,44,05:00,432,5753,25,30.07.2015
6,8169,13071,-219,136,06:00,434,5757,24,30.07.2015
7,8145,13824,0,440,07:00,434,5784,38,30.07.2015
8,8151,14413,0,514,08:00,435,6446,59,30.07.2015
9,8163,15658,0,645,09:00,430,6569,114,30.07.2015
10,8146,16023,0,1078,10:00,432,6540,165,30.07.2015
11,8129,16204,0,1237,11:00,432,6509,204,30.07.2015
12,8126,16553,0,1402,12:00,429,6677,223,30.07.2015
13,8112,16492,0,1412,13:00,430,6711,215,30.07.2015
14,8099,16680,0,1683,14:00,431,6681,218,30.07.2015
15,8125,16655,0,1626,15:00,430,6634,186,30.07.2015
16,8129,16521,0,1481,16:00,423,6629,174,30.07.2015
17,8124,16322,0,1514,17:00,429,6595,126,30.07.2015
18,8140,16352,0,1682,18:00,431,6581,62,30.07.2015
19,8130,16107,0,1537,19:00,432,6546,25,30.07.2015
20,8141,15853,0,1246,20:00,432,6555,6,30.07.2015
21,8155,16641,0,1802,21:00,437,6562,1,30.07.2015
22,8144,16684,0,2157,22:00,436,6626,4,30.07.2015
23,8148,15353,0,1368,23:00,435,6569,4,30.07.2015
24,8146,14300,0,557,24,434,6490,5,30.07.2015
0,8146,14300,0,557,00:00,434,6490,5,31.07.2015
1,8122,13566,-41,223,01:00,440,6083,2,31.07.2015
2,8116,13151,-443,43,02:00,441,6046,3,31.07.2015
3,8105,12802,-678,43,03:00,450,5988,23,31.07.2015
4,8158,12933,-663,43,04:00,451,5937,20,31.07.2015
5,8156,12753,-663,44,05:00,451,5919,42,31.07.2015
6,8560,13195,-619,43,06:00,453,5758,70,31.07.2015
7,8708,13913,0,45,07:00,448,5931,97,31.07.2015
8,8856,14405,0,126,08:00,451,5974,84,31.07.2015
9,8919,15389,0,510,09:00,454,6022,91,31.07.2015
10,8882,16052,0,944,10:00,455,6309,99,31.07.2015
11,8842,16266,0,873,11:00,455,6495,142,31.07.2015
12,8896,16407,0,1162,12:00,458,6502,161,31.07.2015
13,8937,16515,0,1211,13:00,457,6281,184,31.07.2015
14,8986,16525,0,1425,14:00,458,6277,147,31.07.2015
15,9000,16342,0,1313,15:00,460,6281,147,31.07.2015
16,9008,16285,0,1430,16:00,457,6261,116,31.07.2015
17,8981,16257,0,1385,17:00,458,6296,82,31.07.2015
18,8992,16056,0,1233,18:00,458,6261,57,31.07.2015
19,8994,15891,0,1141,19:00,461,6297,36,31.07.2015
20,8999,15686,0,977,20:00,456,6341,23,31.07.2015
21,8989,16401,0,1478,21:00,456,6394,25,31.07.2015
22,8995,16227,0,1458,22:00,451,6472,39,31.07.2015
23,8984,14768,0,124,23:00,451,6418,158,31.07.2015
24,9007,13987,-405,63,24,457,6379,169,31.07.2015
0,9007,13987,-405,63,00:00,457,6379,169,01.08.2015
1,9050,13165,-404,44,01:00,463,5390,168,01.08.2015
2,9061,12667,-442,44,02:00,456,4795,165,01.08.2015
3,9036,12235,-441,44,03:00,457,4619,153,01.08.2015
4,9063,12383,-660,44,04:00,458,4501,159,01.08.2015
5,9082,12366,-662,44,05:00,457,4489,171,01.08.2015
6,9110,12565,-658,46,06:00,458,4505,196,01.08.2015
7,9122,12927,-400,47,07:00,458,4692,242,01.08.2015
8,9108,13213,0,46,08:00,458,4780,273,01.08.2015
9,9108,14147,0,319,09:00,459,4869,335,01.08.2015
10,9090,14767,0,102,10:00,462,5982,380,01.08.2015
11,9082,15038,0,105,11:00,464,6129,403,01.08.2015
12,9108,15271,0,357,12:00,463,5968,441,01.08.2015
13,9103,15449,0,585,13:00,461,5888,433,01.08.2015
14,9070,15259,0,592,14:00,459,5903,391,01.08.2015
15,9083,15070,0,708,15:00,462,5658,387,01.08.2015
16,9057,14962,0,597,16:00,464,5709,368,01.08.2015
17,9090,15065,0,647,17:00,461,5741,315,01.08.2015
18,9046,15129,0,741,18:00,466,5815,262,01.08.2015
19,9077,15012,0,821,19:00,463,5795,187,01.08.2015
20,9115,14676,0,630,20:00,461,5784,120,01.08.2015
21,9091,15567,0,1565,21:00,463,5707,195,01.08.2015
22,9096,15797,0,1673,22:00,462,5833,191,01.08.2015
23,9117,14595,0,592,23:00,471,5585,192,01.08.2015
24,9149,13596,-66,63,24,483,4657,179,01.08.2015
0,9149,13596,-66,63,00:00,483,4657,179,02.08.2015
1,9104,12874,-396,235,01:00,487,4287,138,02.08.2015
2,9127,12504,-437,44,02:00,486,4293,113,02.08.2015
3,9106,12244,-657,43,03:00,471,4130,112,02.08.2015
4,9146,12179,-655,44,04:00,478,4139,125,02.08.2015
5,9136,12152,-652,43,05:00,483,4138,106,02.08.2015
6,9144,12224,-656,44,06:00,479,4245,121,02.08.2015
7,9152,12565,-434,45,07:00,470,4296,105,02.08.2015
8,9158,12638,-392,47,08:00,480,4310,176,02.08.2015
9,9117,13331,-392,47,09:00,484,4790,291,02.08.2015
10,9122,13895,0,104,10:00,470,5020,337,02.08.2015
11,9129,14159,0,283,11:00,475,5127,314,02.08.2015
12,9077,14554,0,521,12:00,477,5324,304,02.08.2015
13,9110,14578,0,382,13:00,475,5333,300,02.08.2015
14,9090,14609,0,529,14:00,471,5334,286,02.08.2015
15,9099,14558,0,479,15:00,475,5319,277,02.08.2015
16,9068,14434,0,526,16:00,473,5286,212,02.08.2015
17,9078,14325,0,616,17:00,472,5329,135,02.08.2015
18,9050,14648,0,686,18:00,481,5593,79,02.08.2015
19,9055,14514,0,682,19:00,476,5608,34,02.08.2015
20,9057,14336,0,456,20:00,475,5613,65,02.08.2015
21,9064,15410,0,1559,21:00,466,5584,121,02.08.2015
22,9052,15679,0,1908,22:00,464,5477,178,02.08.2015
23,9083,14310,0,725,23:00,466,4909,201,02.08.2015
24,9042,13343,0,158,24,468,4535,181,02.08.2015
0,9042,13343,0,158,00:00,468,4535,181,03.08.2015
1,9046,12624,-435,150,01:00,470,4249,193,03.08.2015
2,9040,12319,-653,43,02:00,476,4144,227,03.08.2015
3,9056,12084,-653,42,03:00,474,4134,226,03.08.2015
4,9055,12003,-653,43,04:00,476,4141,210,03.08.2015
5,9095,12035,-654,43,05:00,475,4121,182,03.08.2015
6,9056,12442,-389,43,06:00,479,4300,185,03.08.2015
7,9053,13228,0,106,07:00,476,4504,163,03.08.2015
8,9078,14040,0,132,08:00,472,5428,169,03.08.2015
9,9082,15082,0,203,09:00,472,6409,237,03.08.2015
10,9088,15616,0,466,10:00,471,6754,280,03.08.2015
11,9072,15851,0,376,11:00,465,6886,295,03.08.2015
12,9045,15957,0,520,12:00,464,6930,307,03.08.2015
13,9050,16140,0,447,13:00,425,7002,328,03.08.2015
14,9027,16377,0,772,14:00,447,7002,368,03.08.2015
15,9007,16434,0,821,15:00,443,6986,366,03.08.2015
16,9014,16289,0,710,16:00,464,7002,330,03.08.2015
17,8998,16070,0,599,17:00,461,6973,283,03.08.2015
18,9003,15858,0,983,18:00,462,6605,216,03.08.2015
19,8982,15736,0,846,19:00,456,6573,142,03.08.2015
20,8990,15291,0,604,20:00,457,6635,84,03.08.2015
21,8913,16340,0,1656,21:00,458,6624,96,03.08.2015
22,8925,16327,0,1783,22:00,453,6519,132,03.08.2015
23,8943,14842,0,224,23:00,457,6207,148,03.08.2015
24,8972,13678,-399,53,24,456,5819,175,03.08.2015
0,8972,13678,-399,53,00:00,456,5819,175,04.08.2015
1,8982,12864,-437,42,01:00,456,4854,182,04.08.2015
2,8967,12452,-433,42,02:00,455,4143,173,04.08.2015
3,8938,12225,-666,43,03:00,457,4111,222,04.08.2015
4,8954,12117,-651,43,04:00,456,4052,211,04.08.2015
5,8979,12114,-651,42,05:00,454,4045,197,04.08.2015
6,8980,12576,-611,42,06:00,463,4318,195,04.08.2015
7,9005,13404,0,283,07:00,461,4343,158,04.08.2015
8,9022,14210,0,195,08:00,463,5469,168,04.08.2015
9,9023,15256,0,904,09:00,465,5672,206,04.08.2015
10,8995,15732,0,663,10:00,470,5959,246,04.08.2015
11,9004,15908,0,743,11:00,471,6053,279,04.08.2015
12,8943,16029,0,924,12:00,477,6045,311,04.08.2015
13,8943,16236,0,918,13:00,479,6010,339,04.08.2015
14,8950,16536,0,1233,14:00,470,5857,373,04.08.2015
15,8935,16484,0,1303,15:00,478,5863,330,04.08.2015
16,8922,16421,0,1106,16:00,474,5827,332,04.08.2015
17,8925,16331,0,1142,17:00,473,5810,277,04.08.2015
18,8924,16162,-3,895,18:00,476,5893,258,04.08.2015
19,8903,16027,0,1024,19:00,467,5927,128,04.08.2015
20,8942,15683,0,841,20:00,464,6068,97,04.08.2015
21,8947,16469,0,1572,21:00,465,6103,115,04.08.2015
22,8930,16652,0,1543,22:00,475,6215,183,04.08.2015
23,8939,15176,0,52,23:00,478,6102,199,04.08.2015
24,8923,14010,0,43,24,482,5354,210,04.08.2015
0,8923,14010,0,43,00:00,482,5354,210,05.08.2015
1,8913,13287,-439,42,01:00,483,4978,213,05.08.2015
2,8922,12721,-440,42,02:00,482,4333,199,05.08.2015
3,8976,12484,-667,43,03:00,485,4598,197,05.08.2015
4,8968,12471,-654,42,04:00,486,4607,190,05.08.2015
5,8969,12513,-265,43,05:00,488,4406,175,05.08.2015
6,8944,12794,-612,40,06:00,468,4553,161,05.08.2015
7,8949,13652,0,42,07:00,470,5204,138,05.08.2015
8,8973,14505,0,43,08:00,464,5934,139,05.08.2015
9,8953,15634,0,731,09:00,461,6198,152,05.08.2015
10,8950,15994,0,981,10:00,468,6230,177,05.08.2015
11,8942,16202,0,1069,11:00,478,6214,235,05.08.2015
12,8892,16385,0,1278,12:00,460,6199,224,05.08.2015
13,8909,16690,0,1356,13:00,449,6202,296,05.08.2015
14,8936,16847,0,1616,14:00,454,6255,344,05.08.2015
15,8903,16916,0,1629,15:00,448,6222,352,05.08.2015
16,8929,16958,0,1372,16:00,452,6588,306,05.08.2015
17,8930,16910,0,1341,17:00,449,6617,251,05.08.2015
18,8879,16607,-3,1013,18:00,452,6625,169,05.08.2015
19,8907,16451,0,953,19:00,448,6647,125,05.08.2015
20,8911,16208,0,665,20:00,440,6746,54,05.08.2015
21,8897,17089,0,1410,21:00,442,6717,62,05.08.2015
22,8946,16941,0,1485,22:00,447,6593,149,05.08.2015
23,8893,15280,0,52,23:00,450,6488,208,05.08.2015
24,8923,14255,0,43,24,475,6042,202,05.08.2015
0,8923,14255,0,43,00:00,475,6042,202,06.08.2015
1,8931,13429,-441,95,01:00,458,5441,208,06.08.2015
2,8941,12871,-436,430,02:00,453,4192,212,06.08.2015
3,8852,12600,-659,42,03:00,462,3866,193,06.08.2015
4,8873,12527,-654,43,04:00,466,3735,189,06.08.2015
5,8889,12568,-652,43,05:00,463,3700,187,06.08.2015
6,8878,12947,-612,423,06:00,463,3686,175,06.08.2015
7,8906,13868,0,375,07:00,476,4004,170,06.08.2015
8,8944,14513,0,169,08:00,476,5018,169,06.08.2015
9,8926,15667,0,1081,09:00,476,5131,194,06.08.2015
10,8896,16252,0,1413,10:00,469,5510,239,06.08.2015
11,8910,16397,0,1223,11:00,478,5710,269,06.08.2015
12,8909,16706,0,1483,12:00,479,5780,322,06.08.2015
13,8894,16899,0,1521,13:00,475,5866,347,06.08.2015
14,8922,17174,0,1457,14:00,479,6232,325,06.08.2015
15,8927,16874,0,1064,15:00,462,6379,313,06.08.2015
16,8887,16812,0,1120,16:00,460,6364,254,06.08.2015
17,8894,16808,0,1257,17:00,457,6331,189,06.08.2015
18,8916,16626,0,1127,18:00,461,6367,127,06.08.2015
19,8914,16395,0,996,19:00,449,6329,89,06.08.2015
20,8888,16072,0,754,20:00,457,6381,75,06.08.2015
21,8875,16946,0,1465,21:00,456,6388,76,06.08.2015
22,8897,17160,0,1815,22:00,447,6479,78,06.08.2015
23,8914,15451,0,99,23:00,448,6423,52,06.08.2015
24,8931,14477,-448,43,24,451,5985,77,06.08.2015
0,8931,14477,-448,43,00:00,451,5985,77,07.08.2015
1,8929,13532,-436,405,01:00,451,4345,168,07.08.2015
2,8965,12961,-434,41,02:00,447,4064,180,07.08.2015
3,8900,12732,-672,41,03:00,446,3961,149,07.08.2015
4,8915,12696,-658,41,04:00,443,3942,140,07.08.2015
5,8939,12743,-658,41,05:00,443,3941,134,07.08.2015
6,8944,13183,-615,41,06:00,443,4206,115,07.08.2015
7,8921,13978,0,125,07:00,433,4396,111,07.08.2015
8,8955,14648,0,275,08:00,434,4981,122,07.08.2015
9,8949,15679,0,684,09:00,438,5604,156,07.08.2015
10,8954,16058,0,700,10:00,398,6084,201,07.08.2015
11,8931,16190,0,518,11:00,405,6333,258,07.08.2015
12,8918,16459,0,663,12:00,451,6367,279,07.08.2015
13,8899,16675,0,780,13:00,414,6410,371,07.08.2015
14,8862,16764,0,954,14:00,420,6708,360,07.08.2015
15,8895,16715,0,592,15:00,422,6858,310,07.08.2015
16,8850,16754,0,621,16:00,430,6843,232,07.08.2015
17,8863,16529,0,542,17:00,433,6823,216,07.08.2015
18,8825,16376,0,464,18:00,438,6785,132,07.08.2015
19,8848,16119,0,374,19:00,452,6791,101,07.08.2015
20,8852,15864,0,213,20:00,456,6830,79,07.08.2015
21,8859,16688,0,923,21:00,453,6905,95,07.08.2015
22,8855,16679,0,887,22:00,480,6828,90,07.08.2015
23,8595,15157,0,281,23:00,482,6157,109,07.08.2015
24,8321,14174,-27,94,24,495,5567,205,07.08.2015
0,8321,14174,-27,94,00:00,495,5567,205,08.08.2015
1,8240,13399,-435,72,01:00,494,4948,208,08.08.2015
2,8256,12914,-436,72,02:00,493,4733,192,08.08.2015
3,8254,12726,-671,44,03:00,496,4771,154,08.08.2015
4,8269,12592,-656,45,04:00,496,4715,175,08.08.2015
5,8278,12548,-652,44,05:00,503,4709,161,08.08.2015
6,8277,12553,-656,44,06:00,502,4763,165,08.08.2015
7,8278,12936,-391,46,07:00,501,4844,155,08.08.2015
8,8252,13505,0,45,08:00,500,5121,154,08.08.2015
9,8324,14370,0,567,09:00,502,5298,211,08.08.2015
10,8291,15038,0,470,10:00,509,6096,269,08.08.2015
11,8285,15452,0,251,11:00,513,6457,391,08.08.2015
12,8273,15806,0,467,12:00,544,6500,411,08.08.2015
13,8265,15836,0,624,13:00,538,6518,418,08.08.2015
14,8224,15878,0,402,14:00,543,6763,404,08.08.2015
15,8226,15736,0,355,15:00,544,6840,368,08.08.2015
16,8229,15788,0,352,16:00,527,6853,345,08.08.2015
17,8249,15843,0,408,17:00,538,6835,293,08.08.2015
18,8231,15775,0,528,18:00,535,6837,214,08.08.2015
19,8229,15604,0,511,19:00,532,6817,161,08.08.2015
20,8224,15145,0,252,20:00,540,6812,81,08.08.2015
21,8235,16311,0,1299,21:00,523,6852,106,08.08.2015
22,8249,16213,0,1477,22:00,518,6585,114,08.08.2015
23,8245,14885,0,343,23:00,515,6247,121,08.08.2015
24,8232,13933,0,187,24,495,5366,140,08.08.2015
0,8232,13933,0,187,00:00,495,5366,140,09.08.2015
1,8262,13119,0,42,01:00,488,4698,130,09.08.2015
2,8256,12673,-435,44,02:00,489,4650,126,09.08.2015
3,8267,12451,-653,44,03:00,516,4420,159,09.08.2015
4,8258,12181,-653,42,04:00,532,4465,167,09.08.2015
5,8280,12249,-653,44,05:00,503,4442,184,09.08.2015
6,8272,12344,-652,45,06:00,527,4431,189,09.08.2015
7,8304,12589,-434,46,07:00,538,4419,144,09.08.2015
8,8285,12918,-391,45,08:00,501,4677,137,09.08.2015
9,8302,13850,0,573,09:00,513,4688,219,09.08.2015
10,8285,14443,0,275,10:00,540,5344,291,09.08.2015
11,8255,14644,0,391,11:00,541,5570,342,09.08.2015
12,8256,15068,0,891,12:00,538,5651,349,09.08.2015
13,8235,15271,0,857,13:00,541,5654,377,09.08.2015
14,8230,15311,0,796,14:00,537,6030,354,09.08.2015
15,8203,15258,0,588,15:00,537,5963,346,09.08.2015
16,8212,15227,0,450,16:00,535,6154,331,09.08.2015
17,8236,15330,0,462,17:00,542,6353,270,09.08.2015
18,8191,15272,0,513,18:00,509,6583,183,09.08.2015
19,8193,15339,0,529,19:00,531,6638,122,09.08.2015
20,8224,15194,0,444,20:00,535,6687,92,09.08.2015
21,8234,16416,0,1478,21:00,532,6682,75,09.08.2015
22,8201,16306,0,1146,22:00,529,7321,73,09.08.2015
23,8216,14989,0,56,23:00,528,6836,72,09.08.2015
24,8219,13898,-394,235,24,536,5629,84,09.08.2015
0,8219,13898,-394,235,00:00,536,5629,84,10.08.2015
1,8224,13116,-434,281,01:00,522,4861,81,10.08.2015
2,8248,12663,-432,50,02:00,530,4746,71,10.08.2015
3,8244,12535,-667,50,03:00,530,4483,85,10.08.2015
4,8258,12343,-650,49,04:00,534,4470,131,10.08.2015
5,8223,12256,-653,49,05:00,535,4453,154,10.08.2015
6,8247,12755,-606,47,06:00,530,4664,152,10.08.2015
7,8257,13719,0,281,07:00,533,4791,170,10.08.2015
8,8260,14594,0,359,08:00,534,5859,138,10.08.2015
9,8261,15776,0,784,09:00,531,6533,159,10.08.2015
10,8239,16327,0,1052,10:00,531,6890,207,10.08.2015
11,8225,16725,0,1238,11:00,522,6989,269,10.08.2015
12,8236,17096,0,1393,12:00,509,7006,379,10.08.2015
13,8227,17219,0,1471,13:00,506,7132,382,10.08.2015
14,8190,17312,0,1313,14:00,505,7461,309,10.08.2015
15,8197,17138,0,1072,15:00,512,7618,297,10.08.2015
16,8191,17226,0,1120,16:00,493,7593,256,10.08.2015
17,8158,16998,0,1138,17:00,508,7642,206,10.08.2015
18,8176,16917,-3,976,18:00,495,7672,160,10.08.2015
19,8195,16629,-3,929,19:00,495,7593,79,10.08.2015
20,8190,16375,0,828,20:00,494,7591,47,10.08.2015
21,8196,17283,0,1762,21:00,500,7640,30,10.08.2015
22,8189,17122,0,1573,22:00,510,7653,16,10.08.2015
23,8204,15559,0,372,23:00,514,7133,39,10.08.2015
24,8195,14538,0,135,24,480,6042,50,10.08.2015
0,8195,14538,0,135,00:00,480,6042,50,11.08.2015
1,8239,13627,-434,324,01:00,500,5339,127,11.08.2015
2,8210,13079,-667,300,02:00,476,5019,129,11.08.2015
3,8235,12712,-651,43,03:00,516,4527,142,11.08.2015
4,8225,12571,-650,44,04:00,505,4166,171,11.08.2015
5,8230,12646,-648,44,05:00,502,4200,160,11.08.2015
6,8271,13052,-389,212,06:00,505,4213,146,11.08.2015
7,8275,13767,0,425,07:00,522,4555,139,11.08.2015
8,8271,14689,0,428,08:00,519,5570,98,11.08.2015
9,8229,15957,0,1138,09:00,512,5912,130,11.08.2015
10,8180,16576,0,1848,10:00,485,5978,199,11.08.2015
11,8157,16738,0,1758,11:00,487,6146,341,11.08.2015
12,8144,17134,0,2126,12:00,486,6169,394,11.08.2015
13,8157,17284,0,1873,13:00,483,6484,383,11.08.2015
14,8114,17450,0,1845,14:00,479,6847,354,11.08.2015
15,8133,17325,0,1914,15:00,485,6840,253,11.08.2015
16,8127,17295,0,1693,16:00,468,6878,270,11.08.2015
17,8123,17114,-3,1657,17:00,471,6836,213,11.08.2015
18,8125,16976,-3,1588,18:00,487,6828,155,11.08.2015
19,8094,16585,-3,1407,19:00,486,6852,82,11.08.2015
20,8132,16665,0,1216,20:00,487,7029,56,11.08.2015
21,8120,17516,0,2078,21:00,486,7226,51,11.08.2015
22,8138,17378,0,1754,22:00,492,7275,42,11.08.2015
23,8119,15706,0,150,23:00,490,7027,124,11.08.2015
24,8163,14502,0,55,24,497,5925,106,11.08.2015
0,8163,14502,0,55,00:00,497,5925,106,12.08.2015
1,8157,13699,-441,415,01:00,504,4978,125,12.08.2015
2,8149,13171,-667,191,02:00,474,4922,134,12.08.2015
3,8142,12889,-672,101,03:00,471,4686,137,12.08.2015
4,8169,12824,-656,201,04:00,469,4350,132,12.08.2015
5,8165,12992,-653,237,05:00,469,4517,161,12.08.2015
6,8209,13349,-391,45,06:00,468,4761,178,12.08.2015
7,8187,14194,0,141,07:00,485,5230,183,12.08.2015
8,8207,15046,0,394,08:00,483,5895,117,12.08.2015
9,8182,16087,0,1180,09:00,484,6273,109,12.08.2015
10,8218,16613,0,1274,10:00,495,6532,136,12.08.2015
11,8185,16861,0,1312,11:00,496,6754,218,12.08.2015
12,8163,17241,0,1659,12:00,504,6727,246,12.08.2015
13,8178,17339,0,1608,13:00,507,6885,273,12.08.2015
14,8171,17526,0,1478,14:00,500,7272,257,12.08.2015
15,8140,17705,0,1423,15:00,469,7486,262,12.08.2015
16,8125,17455,0,1196,16:00,462,7581,240,12.08.2015
17,8151,17181,-3,940,17:00,462,7622,193,12.08.2015
18,8128,16978,-3,769,18:00,475,7648,134,12.08.2015
19,8119,16699,0,688,19:00,455,7616,40,12.08.2015
20,8137,16598,0,584,20:00,482,7756,21,12.08.2015
21,8128,17665,0,1503,21:00,484,7809,59,12.08.2015
22,8133,17291,0,1006,22:00,488,7875,77,12.08.2015
23,8160,15576,-22,151,23:00,485,7289,107,12.08.2015
24,8173,14525,-397,52,24,489,6125,143,12.08.2015
0,8173,14525,-397,52,00:00,489,6125,143,13.08.2015
1,8126,13787,-438,224,01:00,478,5277,162,13.08.2015
2,8156,13319,-437,43,02:00,454,4993,166,13.08.2015
3,8154,13101,-668,87,03:00,438,4896,189,13.08.2015
4,8179,12921,-669,43,04:00,436,4898,213,13.08.2015
5,8187,13052,-655,43,05:00,436,4827,195,13.08.2015
6,8231,13412,-611,44,06:00,437,5037,225,13.08.2015
7,8193,14064,0,46,07:00,445,5110,216,13.08.2015
8,8230,14816,0,96,08:00,450,6008,167,13.08.2015
9,8172,16122,0,902,09:00,451,6581,200,13.08.2015
10,8209,16559,0,1106,10:00,453,6983,194,13.08.2015
11,8178,16685,0,717,11:00,462,7086,286,13.08.2015
12,8162,16988,0,1013,12:00,436,7092,326,13.08.2015
13,8161,17317,0,1313,13:00,437,7034,295,13.08.2015
14,8133,17188,0,1705,14:00,440,7031,251,13.08.2015
15,8144,17311,0,1455,15:00,437,7158,227,13.08.2015
16,8160,17278,-3,1418,16:00,462,7316,149,13.08.2015
17,8152,17113,-3,1163,17:00,458,7277,142,13.08.2015
18,8145,16968,-3,989,18:00,457,7387,92,13.08.2015
19,8149,16844,0,641,19:00,457,7725,54,13.08.2015
20,8184,16577,0,521,20:00,457,7730,68,13.08.2015
21,8196,17520,0,1445,21:00,451,7757,69,13.08.2015
22,8168,17136,0,1087,22:00,452,7776,86,13.08.2015
23,8199,15591,0,202,23:00,455,7064,81,13.08.2015
24,8239,14493,-401,162,24,456,6199,38,13.08.2015
0,8239,14493,-401,162,00:00,456,6199,38,14.08.2015
1,8193,13798,-440,363,01:00,466,5257,116,14.08.2015
2,8209,13253,-434,135,02:00,464,4700,159,14.08.2015
3,8223,12889,-668,43,03:00,459,4820,124,14.08.2015
4,8240,12786,-670,43,04:00,448,4839,88,14.08.2015
5,8223,12849,-655,44,05:00,448,4917,80,14.08.2015
6,8248,13212,-614,44,06:00,451,5015,81,14.08.2015
7,8239,13995,0,105,07:00,456,5197,49,14.08.2015
8,8256,14818,0,191,08:00,464,5892,41,14.08.2015
9,8259,15783,0,259,09:00,467,6951,81,14.08.2015
10,8244,16159,0,227,10:00,458,7272,125,14.08.2015
11,8232,16245,-3,248,11:00,453,7323,122,14.08.2015
12,8266,16555,-3,350,12:00,455,7543,138,14.08.2015
13,8220,16663,0,785,13:00,451,7266,115,14.08.2015
14,8231,16801,0,742,14:00,455,7556,155,14.08.2015
15,8189,16588,0,872,15:00,447,7205,172,14.08.2015
16,8207,16495,0,931,16:00,417,7171,160,14.08.2015
17,8213,16449,-3,774,17:00,435,7170,128,14.08.2015
18,8159,16317,-3,734,18:00,439,7172,101,14.08.2015
19,8198,16125,-3,467,19:00,458,7242,77,14.08.2015
20,8190,16089,0,365,20:00,451,7295,48,14.08.2015
21,8204,17107,0,1462,21:00,453,7292,41,14.08.2015
22,8210,16715,0,1142,22:00,453,7323,34,14.08.2015
23,8164,15242,-14,170,23:00,457,6930,33,14.08.2015
24,8193,14345,-395,219,24,454,5965,28,14.08.2015
0,8193,14345,-395,219,00:00,454,5965,28,15.08.2015
1,8180,13663,-438,663,01:00,437,4639,26,15.08.2015
2,8176,13178,-438,515,02:00,440,4373,28,15.08.2015
3,8193,12996,-436,75,03:00,440,4632,30,15.08.2015
4,8201,12854,-668,47,04:00,461,4752,34,15.08.2015
5,8231,12816,-657,47,05:00,462,4728,27,15.08.2015
6,8191,12980,-652,47,06:00,456,4728,34,15.08.2015
7,8219,13331,-219,45,07:00,460,4714,56,15.08.2015
8,8221,13625,0,46,08:00,457,4912,54,15.08.2015
9,8173,14650,0,628,09:00,460,5163,114,15.08.2015
10,8147,15167,0,548,10:00,448,5734,145,15.08.2015
11,8174,15502,0,626,11:00,443,6004,199,15.08.2015
12,8142,15839,0,870,12:00,441,6111,199,15.08.2015
13,8153,15872,0,950,13:00,417,6207,206,15.08.2015
14,8150,16036,0,693,14:00,430,6577,213,15.08.2015
15,8144,15802,0,229,15:00,436,6707,164,15.08.2015
16,8133,15771,0,231,16:00,445,6628,164,15.08.2015
17,8133,15719,0,396,17:00,450,6640,128,15.08.2015
18,8154,15604,0,425,18:00,446,6642,124,15.08.2015
19,8142,15551,0,255,19:00,445,6667,68,15.08.2015
20,8139,15353,0,339,20:00,454,6651,73,15.08.2015
21,8132,16369,0,1176,21:00,459,6660,52,15.08.2015
22,8143,16026,0,1099,22:00,454,6312,59,15.08.2015
23,8147,14695,0,975,23:00,463,5058,55,15.08.2015
24,8179,13933,0,136,24,454,4623,74,15.08.2015
0,8179,13933,0,136,00:00,454,4623,74,16.08.2015
1,8204,13219,-11,45,01:00,451,4469,74,16.08.2015
2,8181,12694,-437,89,02:00,458,4494,67,16.08.2015
3,8182,12654,-669,85,03:00,466,4482,91,16.08.2015
4,8190,12366,-657,88,04:00,464,4470,56,16.08.2015
5,7995,12215,-653,45,05:00,459,4387,57,16.08.2015
6,7781,12406,-650,93,06:00,462,4479,63,16.08.2015
7,7756,12553,-434,168,07:00,455,4446,70,16.08.2015
8,7791,12872,0,201,08:00,459,4478,84,16.08.2015
9,7853,13747,0,459,09:00,463,5017,118,16.08.2015
10,7975,14076,0,516,10:00,459,5154,165,16.08.2015
11,7973,14421,0,592,11:00,456,5355,217,16.08.2015
12,7975,14764,0,675,12:00,455,5550,240,16.08.2015
13,8022,14834,0,636,13:00,453,5626,251,16.08.2015
14,7963,14808,0,551,14:00,450,5842,262,16.08.2015
15,7958,14936,0,528,15:00,449,5926,264,16.08.2015
16,7947,14859,0,281,16:00,449,6110,231,16.08.2015
17,7925,14928,0,461,17:00,425,6096,194,16.08.2015
18,7937,14937,0,462,18:00,417,6230,160,16.08.2015
19,7915,14755,0,489,19:00,416,6255,88,16.08.2015
20,7954,15059,0,401,20:00,417,6653,46,16.08.2015
21,7932,16341,0,1477,21:00,418,6572,35,16.08.2015
22,7978,15893,0,1274,22:00,426,6461,49,16.08.2015
23,7938,14219,0,549,23:00,454,5466,46,16.08.2015
24,7977,13566,0,43,24,457,5259,41,16.08.2015
0,7977,13566,0,43,00:00,457,5259,41,17.08.2015
1,7982,12831,-435,41,01:00,461,4568,46,17.08.2015
2,7976,12467,-434,44,02:00,462,4064,36,17.08.2015
3,7993,12220,-654,44,03:00,461,3841,28,17.08.2015
4,8008,12121,-652,44,04:00,460,3787,22,17.08.2015
5,7997,12021,-653,44,05:00,462,3850,26,17.08.2015
6,8014,12515,-609,44,06:00,459,3938,26,17.08.2015
7,8022,13417,0,359,07:00,463,4146,45,17.08.2015
8,8028,14150,0,210,08:00,461,5105,54,17.08.2015
